mydate	monthf	EIRscaled	start_st	time
5-Sep-98	9	0.928082999	25-Oct-84	1
10-Sep-98	9	0.928082999	25-Oct-84	2
15-Sep-98	9	0.928082999	25-Oct-84	3
20-Sep-98	9	0.928082999	25-Oct-84	4
25-Sep-98	9	0.928082999	25-Oct-84	5
30-Sep-98	9	0.928082999	25-Oct-84	6
5-Oct-98	10	1.00E-04	25-Oct-84	7
10-Oct-98	10	1.00E-04	25-Oct-84	8
15-Oct-98	10	1.00E-04	25-Oct-84	9
20-Oct-98	10	1.00E-04	25-Oct-84	10
25-Oct-98	10	1.00E-04	25-Oct-84	11
30-Oct-98	10	1.00E-04	25-Oct-84	12
4-Nov-98	11	1.00E-04	25-Oct-84	13
9-Nov-98	11	1.00E-04	25-Oct-84	14
14-Nov-98	11	1.00E-04	25-Oct-84	15
19-Nov-98	11	1.00E-04	25-Oct-84	16
24-Nov-98	11	1.00E-04	25-Oct-84	17
29-Nov-98	11	1.00E-04	25-Oct-84	18
4-Dec-98	12	0.413110116	25-Oct-84	19
9-Dec-98	12	0.413110116	25-Oct-84	20
14-Dec-98	12	0.413110116	25-Oct-84	21
19-Dec-98	12	0.413110116	25-Oct-84	22
24-Dec-98	12	0.413110116	25-Oct-84	23
29-Dec-98	12	0.413110116	25-Oct-84	24
3-Jan-99	1	1.012968639	25-Oct-84	25
8-Jan-99	1	1.012968639	25-Oct-84	26
13-Jan-99	1	1.012968639	25-Oct-84	27
18-Jan-99	1	1.012968639	25-Oct-84	28
23-Jan-99	1	1.012968639	25-Oct-84	29
28-Jan-99	1	1.012968639	25-Oct-84	30
2-Feb-99	2	1.00E-04	25-Oct-84	31
7-Feb-99	2	1.00E-04	25-Oct-84	32
12-Feb-99	2	1.00E-04	25-Oct-84	33
17-Feb-99	2	1.00E-04	25-Oct-84	34
22-Feb-99	2	1.00E-04	25-Oct-84	35
27-Feb-99	2	1.00E-04	25-Oct-84	36
4-Mar-99	3	1.00E-04	25-Oct-84	37
9-Mar-99	3	1.00E-04	25-Oct-84	38
14-Mar-99	3	1.00E-04	25-Oct-84	39
19-Mar-99	3	1.00E-04	25-Oct-84	40
24-Mar-99	3	1.00E-04	25-Oct-84	41
29-Mar-99	3	1.00E-04	25-Oct-84	42
3-Apr-99	4	1.00E-04	25-Oct-84	43
8-Apr-99	4	1.00E-04	25-Oct-84	44
13-Apr-99	4	1.00E-04	25-Oct-84	45
18-Apr-99	4	1.00E-04	25-Oct-84	46
23-Apr-99	4	1.00E-04	25-Oct-84	47
28-Apr-99	4	1.00E-04	25-Oct-84	48
3-May-99	5	3.276585711	25-Oct-84	49
8-May-99	5	3.276585711	25-Oct-84	50
13-May-99	5	3.276585711	25-Oct-84	51
18-May-99	5	3.276585711	25-Oct-84	52
23-May-99	5	3.276585711	25-Oct-84	53
28-May-99	5	3.276585711	25-Oct-84	54
2-Jun-99	6	2.311718934	25-Oct-84	55
7-Jun-99	6	2.311718934	25-Oct-84	56
12-Jun-99	6	2.311718934	25-Oct-84	57
17-Jun-99	6	2.311718934	25-Oct-84	58
