mydate	monthf	EIRscaled	start_st	time
3-Apr-99	4	2.1297	25-Oct-84	1
8-Apr-99	4	2.1297	25-Oct-84	2
13-Apr-99	4	2.1297	25-Oct-84	3
18-Apr-99	4	2.1297	25-Oct-84	4
23-Apr-99	4	2.1297	25-Oct-84	5
28-Apr-99	4	2.1297	25-Oct-84	6
3-May-99	5	2.6596	25-Oct-84	7
8-May-99	5	2.6596	25-Oct-84	8
13-May-99	5	2.6596	25-Oct-84	9
18-May-99	5	2.6596	25-Oct-84	10
23-May-99	5	2.6596	25-Oct-84	11
28-May-99	5	2.6596	25-Oct-84	12
2-Jun-99	6	2.1297	25-Oct-84	13
7-Jun-99	6	2.1297	25-Oct-84	14
12-Jun-99	6	2.1297	25-Oct-84	15
17-Jun-99	6	2.1297	25-Oct-84	16
22-Jun-99	6	2.1297	25-Oct-84	17
27-Jun-99	6	2.1297	25-Oct-84	18
2-Jul-99	7	1.0934	25-Oct-84	19
7-Jul-99	7	1.0934	25-Oct-84	20
12-Jul-99	7	1.0934	25-Oct-84	21
17-Jul-99	7	1.0934	25-Oct-84	22
22-Jul-99	7	1.0934	25-Oct-84	23
27-Jul-99	7	1.0934	25-Oct-84	24
1-Aug-99	8	0.3599	25-Oct-84	25
6-Aug-99	8	0.3599	25-Oct-84	26
11-Aug-99	8	0.3599	25-Oct-84	27
16-Aug-99	8	0.3599	25-Oct-84	28
21-Aug-99	8	0.3599	25-Oct-84	29
26-Aug-99	8	0.3599	25-Oct-84	30
31-Aug-99	8	0.3599	25-Oct-84	31
5-Sep-99	9	0.176	25-Oct-84	32
10-Sep-99	9	0.176	25-Oct-84	33
15-Sep-99	9	0.176	25-Oct-84	34
20-Sep-99	9	0.176	25-Oct-84	35
25-Sep-99	9	0.176	25-Oct-84	36
30-Sep-99	9	0.176	25-Oct-84	37
5-Oct-99	10	0.0103	25-Oct-84	38
10-Oct-99	10	0.0103	25-Oct-84	39
15-Oct-99	10	0.0103	25-Oct-84	40
20-Oct-99	10	0.0103	25-Oct-84	41
